rank,Video,Video views,Likes,Dislikes,Category,published
1,"20 Tennis shots if they were not filmed, NOBODY would believe them","34,71,237","19,023",859,,2017
2,Lil Nas X - Old Town Road (Official Movie) ft. Billy Ray Cyrus,"5,40,71,677","34,97,955","78,799",Music,2019
3,JoJo Siwa - Karma (Official Video),"3,42,06,747","2,93,563",,Music,2024
4,Wiz Khalifa - See You Again ft. Charlie Puth [Official Video] Furious 7 Soundtrack,"6,64,39,04,918","4,48,61,602",,Music,2015
5,伊賀の天然水強炭酸水「家族で、シュワシェア。」篇　15秒,"23,60,85,971",38,,,2021
6,JP Saxe - If the World Was Ending (Official Video) ft. Julia Michaels,"7,68,34,495","8,04,353","21,195",Music,2019
7,David Kushner - Daylight (Official Music Video),"1,85,58,390","6,80,732",,Music,2023
8,Power Star Pawan Kalyan Special Surprise To Sensational Singer Baby|Filmy Poster,"96,686","1,007",82,Entertainment,2018
9,Kulit Kamu Kulit Kering dan Sensitif? Pakai Aveeno Skin Relief Lotion!,"96,05,969",6,,,2023
10,Totti with a funny penalty,"83,53,318","5,613","1,082",Sports,2007
11,Babilala ที่ทั้งแม่และลูกชื่นชอบนั้นคืออะไร?,"87,18,326",46,,,2021
12,"Polo G, Stunna 4 Vegas & NLE Choppa feat. Mike WiLL Made-It - Go Stupid (Official Video)","73,96,199","3,20,910","6,485",Music,2020
13,Every Moment With You (너와의 모든 지금),"79,58,181","54,903",,Music,2024
14,Not a mechanical baby,"1,46,12,153","3,339",156,Entertainment,2011
15,"Yovie Widianto, Lyodra, Tiara Andini, Ziva Magnolya - Menyesal","1,38,94,905","4,52,087",,Music,2023
16,pevecov popek poje na sexy back,"3,74,60,296","4,533","10,949",Comedy,2007
17,"Luck Ra, Nicki Nicole - DOCTOR","82,86,096","1,49,421",,Music,2024
18,Jay Wheeler - Te La Dedico / For You (Official Video),"1,37,64,098","1,11,497",,Music,2023
19,"Colapesce, Dimartino - Musica leggerissima (Official Video - Sanremo 2021)","69,53,838","1,16,350","2,059",Music,2021
20,Grandma Dottie's Prom Dress Surprise,"84,14,676","2,442",103,People & Blogs,2012
21,Rels B - LA LATINA (Videoclip Oficial),"58,51,411","1,55,543","3,504",Music,2019
22,Together We Can Make a Difference,"1,06,27,797",21,6,,2019
23,Get back on your feet with our top rated lawyers,"9,84,68,536","5,492",,,2022
24,Jim Carrey THE FUNNIEST video,"83,22,488","6,216","11,521",Comedy,2007
25,TEST γιανα δεις αν έχεις καλά ματιά,"6,99,382","8,436","1,756",People & Blogs,2017
26,【急募】中途採用エントリー募集中　ビジョン・コンサルティング,"1,16,38,201",98,,,2022
27,"Kevin AMF, Tiagz - Maradona (Tatara) (Video Oficial)","57,56,535","1,11,266",,Music,2024
28,MILLION DOLLAR BABY,"1,18,94,076","2,26,375",,Music,2024
29,03 - 03 - 2015 AimBot,"59,23,017",62,307,Gaming,2015
30,"6ix9ine - FEFE ft. Nicki Minaj, Murda Beatz","1,09,73,93,695","90,38,575",,People & Blogs,2018
31,Cat mom hugs baby kitten,"5,98,57,489","3,47,772","8,212",Pets & Animals,2011
32,"Biggest Snake of the World for Sale, 25 000 €","5,51,13,253","3,957","46,705",Entertainment,2008
33,IdentityIQ Best-Rated Credit Report Monitoring,"1,66,76,560",29,,,2022
34,kwn - worst behaviour (Official Video) ft. Kehlani,"43,86,564","1,59,903",,Music,2025
35,Polo G - Flex (Official Audio) ft. Juice WRLD,"38,45,186","1,22,706","1,305",Music,2020
36,Hanumankind - Run It Up ( Prod. By Kalmi ) | (Official Music Video),"2,81,81,241","17,72,692",,Music,2025
37,basic instinct,"64,84,622","1,102",271,Entertainment,2006
38,CUPRA Leon e-HYBRID,"38,73,121",4,0,,2021
39,The JAWS OF DEATH AROUND ME my story,"1,56,94,317","2,156","16,530",Pets & Animals,2007
40,Remember Me (기억해줘요 내 모든 날과 그때를),"52,72,487","20,088",,Music,2024
41,"Pedro Capó, Farruko - Calma (Remix - Official Video)","2,99,30,30,499","1,38,40,531",,Music,2018
42,Dog meets baby kitten,"58,56,946","2,705",83,People & Blogs,2014
43,KINEGRAM - Making identity documents secure,"1,26,43,841",14,,,2022
44,JD Pantoja - 12•19 (Official Video),"70,10,732","10,27,392","34,185",Music,2020
45,Suzuki Hayabusa with Turbo Vmax 390kmh,"2,01,46,924","11,010","1,095",Autos & Vehicles,2006
46,Libianca - People (Visualiser) ft. Becky G,"53,53,676","1,13,198",,Music,2023
47,Roger Federer / Bill Gates vs John Isner / Mike McCready - Match for Africa 4 Highlights,"5,14,694","2,742",69,Sports,2017
48,Encuentra POP Queso Cheddar.,"2,17,86,732","7,102",,,2023
49,Rhapsody of Sadness,"34,09,906","18,968",,Music,2023
50,Aydem Enerji - Hayat için enerji,"31,02,751",8,0,,2020
51,Starcraft 2 Gameplay footage and unit preview,"75,29,927","6,075",772,Entertainment,2007
52,Maradonna Gods Hand,"37,77,997","2,300",854,Sports,2007
53,"Smartpress - Premium Print for Designers, Agencies and Brands","29,85,300",1,0,,2020
54,Jay Wheeler - Xexo (Official Video),"50,38,848","93,112",,Music,2023
55,"GabyMusic,AnuelAA,LuarLa,Lunay,Bryant Myers - No Te Quieren Conmigo(Remix)","54,61,432","1,59,823",,Music,2024
56,"Sir Nicholas Winton - BBC Programme ""That's Life"" aired in 1988","3,94,07,674","97,009",747,Education,2009
57,Why athletes should wear pants,"1,78,02,747","2,935","46,151",Sports,2008
58,Kurdish KANGAL vs.American Pitbull Terrier Dog Fight 2008,"80,66,421","1,267","5,689",Pets & Animals,2008
59,"Acompaña a Carlos Andres Acosta, mientras nos muestra la nueva Kia Sportage 2023","86,90,900",10,,,2022
60,Если мент....,"1,07,48,286","7,504","4,116",Music,2010
61,Wedding first dance w/ surprise Jack Johnson Michael Jackson,"1,64,85,606","15,813","1,360",Comedy,2007
62,Polo G - Be Something (Official Audio) ft. Lil Baby,"26,92,740","99,982","2,393",Music,2020
63,Bureau Vallée - papeterie et Fournitures de bureau,"2,15,96,623",7,3,Film & Animation,2019
64,Static & Ben El - Bella,"33,05,681","10,461",626,Music,2021
65,Police take advantage of a Drunk Girl,"3,63,11,875","24,016","4,340",News & Politics,2008
66,Big nipples,"1,35,91,249","1,951","1,628",Comedy,2006
67,2020新生活CP「始まりの日」15秒,"98,57,163",13,0,,2020
68,Вкладчикам Югры в Центробанке не рады,"2,04,782","5,352",63,News & Politics,2017
69,Sporto by Macho | The First Gaze,"5,20,49,705","1,307",,,2021
70,PUN - DAY ONE,"46,69,546","95,387",,Music,2024
71,7 dia,"29,43,159","33,263",,Music,2025
72,We asked you... What do you Chooze ?,"10,18,713","2,413",12,Autos & Vehicles,2017
73,Best Heavyweight Knockouts of All Time,"52,50,458","5,891",509,Sports,2007
74,Dog reacts to return of Nathan after two year Mormon mission,"60,40,429","5,972",194,Pets & Animals,2015
75,Orangutan loves baby bump,"59,89,058","4,282",282,Music,2016
76,Dog scared by fart,"59,38,416","3,883",129,Comedy,2015
77,НЕ ПОВЕЗЛО - UNLUCKY,"1,49,21,437","3,604","1,225",Comedy,2009
78,"Visitenkarten, Flyer oder Banner schon ab unter 10€.","49,29,481",3,2,People & Blogs,2017
79,we were in love (2024) (... 사랑했잖아... (2024)),"36,30,534","22,217",,Music,2024
80,David Beckham crazy pass (cross),"1,72,75,250","32,362",752,Sports,2008
81,LAVIE LOVE LIST | 2019,"1,01,88,590",9,0,Howto & Style,2019
82,Tra Tra Tra,"26,63,550",734,212,Comedy,2007
83,The ultimate seduction: Funny & bizarre slideshow,"8,17,44,457",,,Comedy,2008
84,Girl In Car Flashes Her Bra & Then Crashes Into A Truck!,"98,84,005","7,891","2,334",People & Blogs,2009
85,Girl blown by a plane,"1,22,55,456","7,725",745,Travel & Events,2012
86,La nevedere,"29,60,493","22,343",,Music,2022
87,Why Lands' End Business,"83,93,245",2,,,2021
88,KATSEYE - Touch (ft. YEONJUN of TOMORROW X TOGETHER),"22,79,833","1,68,798",,Music,2024
89,Lucio Corsi - Volevo essere un duro (Sanremo 2025),"60,16,657","1,37,088",,Music,2025
90,Storm (Storm),"21,13,438","12,274",,Music,2025
91,Barack Obama Hillary Clinton - Umbrella,"14,89,96,976","36,190","20,698",Comedy,2008
92,Nice Fight - Cops vs Drug Dealer,"1,71,66,129","12,980","3,713",Entertainment,2008
93,Uğur Volkan Uysal | Wix.com ile Kendi Sitenizi Kurun,"65,87,447",32,101,People & Blogs,2018
94,"[플로우] #오일수스킨 #숨방울스킨  15""","63,54,771",44,38,,2018
95,Olivia Rodrigo - drivers license (Official Video),"6,82,24,979","38,10,456","48,539",Music,2021
96,ALYPH - SWIPE (ft. Dato Seri Vida) Official Music Video,"46,45,815","93,750",,Music,2022
97,Unleash Your Urban Style,"44,85,529",2,,,2023
98,Meineke Financing- 15 Second Commercial,"3,23,87,918","4,071",,,2020
99,"Asake, Central Cee - Wave (Official Video)","1,07,79,032","2,87,616",,Music,2024
100,JoJo Siwa - Guilty Pleasure (Official Music Video),"38,70,451","39,264",,Music,2024
101,Chica Atractiva,"26,38,356","33,875",,Music,2025
102,[Dandadan] Creepy Nuts - オトノケ(Otonoke) (Official Music Video),"1,39,33,735","4,41,696",,Music,2024
103,Jedna fotografija dnevno u najgoroj godini života / One photo a day in the worst year of my life,"6,18,92,792","32,649","4,045",People & Blogs,2013
104,"Grilling Tip, How to Make a Non Stick Surface Part 1","47,02,870",786,51,Howto & Style,2014
105,Brock Lesnar serves breakfast in ESPN cafeteria prank | ESPN Archives,"24,72,045","28,842","1,204",Sports,2017
106,Top 20. Soundtracks Of All Times!,"35,90,248","2,836","2,542",Music,2007
107,Kobe dunks over Shaq in practice (funny),"1,26,49,333","4,492","1,247",Sports,2006
108,Танк Армата,"39,54,302","4,636","1,033",,2015
109,CRASH-405,"27,14,140",376,"1,665",Comedy,2006
110,"Paragard® - 'Your Hormones, Not Ours'","2,43,40,652",,,,2022
111,All aisles lead to savings. Every day!,"2,20,29,100",5,,,2023
